Probe	Chromosome	Start	End	Probe Strand	Feature	ID	Description	Feature Strand	Type	Feature Orientation	Distance	21d_egfp	25d_egfp	28d_egfp
Chr1:29000001-30000000	1	29000001	30000000		null					Not found	0	55.0	124.0	79.0
Chr1:30000001-31000000	1	30000001	31000000		null					Not found	0	18.0	88.0	95.0
Chr1:31000001-32000000	1	31000001	32000000		null					Not found	0	32.0	90.0	120.0
Chr1:32000001-33000000	1	32000001	33000000		null					Not found	0	55.0	35.0	93.0
Chr1:33000001-34000000	1	33000001	34000000		null					Not found	0	46.0	71.0	61.0
Chr1:34000001-35000000	1	34000001	35000000		null					Not found	0	37.0	30.0	53.0
Chr1:35000001-36000000	1	35000001	36000000		null					Not found	0	50.0	54.0	116.0
Chr1:36000001-37000000	1	36000001	37000000		null					Not found	0	20.0	79.0	67.0
Chr1:37000001-38000000	1	37000001	38000000		null					Not found	0	55.0	95.0	51.0
Chr1:38000001-39000000	1	38000001	39000000		null					Not found	0	45.0	44.0	56.0
Chr1:39000001-40000000	1	39000001	40000000		null					Not found	0	43.0	90.0	76.0
Chr1:40000001-41000000	1	40000001	41000000		null					Not found	0	35.0	71.0	95.0
Chr1:41000001-42000000	1	41000001	42000000		null					Not found	0	68.0	45.0	72.0
Chr1:42000001-43000000	1	42000001	43000000		null					Not found	0	45.0	41.0	85.0
Chr1:43000001-44000000	1	43000001	44000000		null					Not found	0	47.0	57.0	58.0
Chr1:44000001-45000000	1	44000001	45000000		null					Not found	0	37.0	58.0	93.0
Chr1:45000001-46000000	1	45000001	46000000		null					Not found	0	35.0	71.0	113.0
Chr1:46000001-47000000	1	46000001	47000000		null					Not found	0	44.0	82.0	102.0
Chr1:47000001-48000000	1	47000001	48000000		null					Not found	0	38.0	61.0	114.0
Chr1:48000001-49000000	1	48000001	49000000		null					Not found	0	38.0	29.0	64.0
Chr1:49000001-50000000	1	49000001	50000000		null					Not found	0	28.0	70.0	108.0
Chr1:50000001-51000000	1	50000001	51000000		null					Not found	0	25.0	85.0	120.0
Chr1:51000001-52000000	1	51000001	52000000		null					Not found	0	31.0	89.0	115.0
Chr1:52000001-53000000	1	52000001	53000000		null					Not found	0	52.0	52.0	105.0
Chr1:53000001-54000000	1	53000001	54000000		null					Not found	0	57.0	87.0	168.0
Chr1:54000001-55000000	1	54000001	55000000		null					Not found	0	109.0	70.0	91.0
Chr1:55000001-56000000	1	55000001	56000000		null					Not found	0	54.0	101.0	109.0
Chr1:56000001-57000000	1	56000001	57000000		null					Not found	0	43.0	47.0	70.0
Chr1:57000001-58000000	1	57000001	58000000		null					Not found	0	32.0	68.0	82.0
Chr1:58000001-59000000	1	58000001	59000000		null					Not found	0	79.0	44.0	147.0
Chr1:59000001-59578282	1	59000001	59578282		null					Not found	0	58.0	95.0	102.0
Chr2:1-1000000	2	1	1000000		null					Not found	0	82.0	150.0	113.0
Chr2:1000001-2000000	2	1000001	2000000		null					Not found	0	66.0	71.0	174.0
Chr2:2000001-3000000	2	2000001	3000000		null					Not found	0	88.0	43.0	162.0
Chr2:3000001-4000000	2	3000001	4000000		null					Not found	0	43.0	86.0	131.0
Chr2:4000001-5000000	2	4000001	5000000		null					Not found	0	80.0	81.0	114.0
Chr2:5000001-6000000	2	5000001	6000000		null					Not found	0	64.0	80.0	104.0
Chr2:6000001-7000000	2	6000001	7000000		null					Not found	0	40.0	73.0	70.0
Chr2:7000001-8000000	2	7000001	8000000		null					Not found	0	62.0	84.0	73.0
Chr2:8000001-9000000	2	8000001	9000000		null					Not found	0	44.0	29.0	65.0
Chr2:9000001-10000000	2	9000001	10000000		null					Not found	0	26.0	81.0	68.0
Chr2:10000001-11000000	2	10000001	11000000		null					Not found	0	51.0	60.0	83.0
Chr2:11000001-12000000	2	11000001	12000000		null					Not found	0	57.0	97.0	103.0
Chr2:12000001-13000000	2	12000001	13000000		null					Not found	0	63.0	67.0	97.0
Chr2:13000001-14000000	2	13000001	14000000		null					Not found	0	28.0	57.0	199.0
Chr2:14000001-15000000	2	14000001	15000000		null					Not found	0	70.0	144.0	185.0
Chr2:15000001-16000000	2	15000001	16000000		null					Not found	0	34.0	61.0	67.0
Chr2:16000001-17000000	2	16000001	17000000		null					Not found	0	37.0	27.0	89.0
Chr2:17000001-18000000	2	17000001	18000000		null					Not found	0	24.0	35.0	92.0
Chr2:18000001-19000000	2	18000001	19000000		null					Not found	0	46.0	99.0	96.0
Chr2:19000001-20000000	2	19000001	20000000		null					Not found	0	57.0	59.0	157.0
Chr2:20000001-21000000	2	20000001	21000000		null					Not found	0	45.0	59.0	75.0
Chr2:21000001-22000000	2	21000001	22000000		null					Not found	0	36.0	80.0	90.0
Chr2:22000001-23000000	2	22000001	23000000		null					Not found	0	18.0	60.0	56.0
Chr2:23000001-24000000	2	23000001	24000000		null					Not found	0	26.0	68.0	94.0
Chr2:24000001-25000000	2	24000001	25000000		null					Not found	0	32.0	60.0	101.0
Chr2:25000001-26000000	2	25000001	26000000		null					Not found	0	26.0	94.0	99.0
Chr2:26000001-27000000	2	26000001	27000000		null					Not found	0	39.0	83.0	67.0
Chr2:27000001-28000000	2	27000001	28000000		null					Not found	0	64.0	74.0	113.0
Chr2:28000001-29000000	2	28000001	29000000		null					Not found	0	38.0	65.0	66.0
Chr2:29000001-30000000	2	29000001	30000000		null					Not found	0	27.0	43.0	71.0
Chr2:30000001-31000000	2	30000001	31000000		null					Not found	0	32.0	60.0	69.0
Chr2:31000001-32000000	2	31000001	32000000		null					Not found	0	45.0	67.0	88.0
Chr2:32000001-33000000	2	32000001	33000000		null					Not found	0	25.0	81.0	102.0
Chr2:33000001-34000000	2	33000001	34000000		null					Not found	0	26.0	75.0	74.0
Chr2:34000001-35000000	2	34000001	35000000		null					Not found	0	18.0	42.0	56.0
Chr2:35000001-36000000	2	35000001	36000000		null					Not found	0	17.0	65.0	87.0
Chr2:36000001-37000000	2	36000001	37000000		null					Not found	0	33.0	48.0	74.0
Chr2:37000001-38000000	2	37000001	38000000		null					Not found	0	70.0	70.0	114.0
Chr2:38000001-39000000	2	38000001	39000000		null					Not found	0	62.0	83.0	91.0
Chr2:39000001-40000000	2	39000001	40000000		null					Not found	0	37.0	47.0	53.0
Chr2:40000001-41000000	2	40000001	41000000		null					Not found	0	41.0	73.0	133.0
Chr2:41000001-42000000	2	41000001	42000000		null					Not found	0	61.0	62.0	86.0
Chr2:42000001-43000000	2	42000001	43000000		null					Not found	0	33.0	40.0	109.0
Chr2:43000001-44000000	2	43000001	44000000		null					Not found	0	45.0	68.0	81.0
Chr2:44000001-45000000	2	44000001	45000000		null					Not found	0	46.0	38.0	84.0
Chr2:45000001-46000000	2	45000001	46000000		null					Not found	0	15.0	55.0	96.0
Chr2:46000001-47000000	2	46000001	47000000		null					Not found	0	35.0	62.0	75.0
Chr2:47000001-48000000	2	47000001	48000000		null					Not found	0	46.0	65.0	68.0
Chr2:48000001-49000000	2	48000001	49000000		null					Not found	0	45.0	36.0	89.0
Chr2:49000001-50000000	2	49000001	50000000		null					Not found	0	10.0	50.0	60.0
Chr2:50000001-51000000	2	50000001	51000000		null					Not found	0	25.0	51.0	92.0
Chr2:51000001-52000000	2	51000001	52000000		null					Not found	0	40.0	56.0	91.0
Chr2:52000001-53000000	2	52000001	53000000		null					Not found	0	28.0	72.0	104.0
Chr2:53000001-54000000	2	53000001	54000000		null					Not found	0	67.0	79.0	90.0
Chr2:54000001-55000000	2	54000001	55000000		null					Not found	0	31.0	122.0	105.0
Chr2:55000001-56000000	2	55000001	56000000		null					Not found	0	44.0	42.0	117.0
Chr2:56000001-57000000	2	56000001	57000000		null					Not found	0	38.0	86.0	107.0
Chr2:57000001-58000000	2	57000001	58000000		null					Not found	0	60.0	38.0	93.0
Chr2:58000001-59000000	2	58000001	59000000		null					Not found	0	110.0	73.0	230.0
Chr2:59000001-59640629	2	59000001	59640629		null					Not found	0	29.0	50.0	28.0
Chr3:1-1000000	3	1	1000000		null					Not found	0	39.0	142.0	107.0
Chr3:1000001-2000000	3	1000001	2000000		null					Not found	0	27.0	110.0	122.0
Chr3:2000001-3000000	3	2000001	3000000		null					Not found	0	39.0	71.0	51.0
Chr3:3000001-4000000	3	3000001	4000000		null					Not found	0	33.0	69.0	82.0
Chr3:4000001-5000000	3	4000001	5000000		null					Not found	0	27.0	53.0	128.0
Chr3:5000001-6000000	3	5000001	6000000		null					Not found	0	58.0	37.0	99.0
Chr3:6000001-7000000	3	6000001	7000000		null					Not found	0	54.0	98.0	150.0
Chr3:7000001-8000000	3	7000001	8000000		null					Not found	0	56.0	96.0	141.0
Chr3:8000001-9000000	3	8000001	9000000		null					Not found	0	30.0	53.0	69.0
Chr3:9000001-10000000	3	9000001	10000000		null					Not found	0	35.0	24.0	89.0
Chr3:10000001-11000000	3	10000001	11000000		null					Not found	0	32.0	32.0	65.0
Chr3:11000001-12000000	3	11000001	12000000		null					Not found	0	29.0	54.0	63.0
Chr3:12000001-13000000	3	12000001	13000000		null					Not found	0	17.0	108.0	141.0
Chr3:13000001-14000000	3	13000001	14000000		null					Not found	0	32.0	57.0	93.0
Chr3:14000001-15000000	3	14000001	15000000		null					Not found	0	24.0	51.0	96.0
Chr3:15000001-16000000	3	15000001	16000000		null					Not found	0	49.0	95.0	106.0
Chr3:16000001-17000000	3	16000001	17000000		null					Not found	0	35.0	78.0	67.0
Chr3:17000001-18000000	3	17000001	18000000		null					Not found	0	53.0	98.0	74.0
Chr3:18000001-19000000	3	18000001	19000000		null					Not found	0	45.0	97.0	118.0
Chr3:19000001-20000000	3	19000001	20000000		null					Not found	0	54.0	39.0	58.0
Chr3:20000001-21000000	3	20000001	21000000		null					Not found	0	20.0	45.0	79.0
Chr3:21000001-22000000	3	21000001	22000000		null					Not found	0	17.0	47.0	48.0
Chr3:22000001-23000000	3	22000001	23000000		null					Not found	0	39.0	49.0	84.0
Chr3:23000001-24000000	3	23000001	24000000		null					Not found	0	54.0	73.0	57.0
Chr3:24000001-25000000	3	24000001	25000000		null					Not found	0	34.0	68.0	95.0
Chr3:25000001-26000000	3	25000001	26000000		null					Not found	0	27.0	48.0	182.0
Chr3:26000001-27000000	3	26000001	27000000		null					Not found	0	47.0	91.0	81.0
Chr3:27000001-28000000	3	27000001	28000000		null					Not found	0	12.0	52.0	95.0
Chr3:28000001-29000000	3	28000001	29000000		null					Not found	0	56.0	68.0	61.0
Chr3:29000001-30000000	3	29000001	30000000		null					Not found	0	36.0	98.0	100.0
Chr3:30000001-31000000	3	30000001	31000000		null					Not found	0	60.0	68.0	141.0
Chr3:31000001-32000000	3	31000001	32000000		null					Not found	0	74.0	68.0	98.0
Chr3:32000001-33000000	3	32000001	33000000		null					Not found	0	62.0	57.0	109.0
Chr3:33000001-34000000	3	33000001	34000000		null					Not found	0	50.0	49.0	86.0
Chr3:34000001-35000000	3	34000001	35000000		null					Not found	0	28.0	46.0	68.0
Chr3:35000001-36000000	3	35000001	36000000		null					Not found	0	55.0	65.0	67.0
Chr3:36000001-37000000	3	36000001	37000000		null					Not found	0	32.0	76.0	70.0
Chr3:37000001-38000000	3	37000001	38000000		null					Not found	0	40.0	54.0	94.0
Chr3:38000001-39000000	3	38000001	39000000		null					Not found	0	45.0	51.0	100.0
Chr3:39000001-40000000	3	39000001	40000000		null					Not found	0	57.0	59.0	107.0
Chr3:40000001-41000000	3	40000001	41000000		null					Not found	0	70.0	94.0	153.0
Chr3:41000001-42000000	3	41000001	42000000		null					Not found	0	14.0	67.0	97.0
Chr3:42000001-43000000	3	42000001	43000000		null					Not found	0	50.0	64.0	88.0
Chr3:43000001-44000000	3	43000001	44000000		null					Not found	0	54.0	125.0	106.0
Chr3:44000001-45000000	3	44000001	45000000		null					Not found	0	50.0	100.0	107.0
Chr3:45000001-46000000	3	45000001	46000000		null					Not found	0	59.0	162.0	94.0
Chr3:46000001-47000000	3	46000001	47000000		null					Not found	0	78.0	66.0	134.0
Chr3:47000001-48000000	3	47000001	48000000		null					Not found	0	85.0	110.0	100.0
Chr3:48000001-49000000	3	48000001	49000000		null					Not found	0	51.0	65.0	64.0
Chr3:49000001-50000000	3	49000001	50000000		null					Not found	0	17.0	39.0	78.0
Chr3:50000001-51000000	3	50000001	51000000		null					Not found	0	53.0	108.0	175.0
Chr3:51000001-52000000	3	51000001	52000000		null					Not found	0	56.0	96.0	96.0
Chr3:52000001-53000000	3	52000001	53000000		null					Not found	0	34.0	69.0	75.0
Chr3:53000001-54000000	3	53000001	54000000		null					Not found	0	36.0	98.0	95.0
Chr3:54000001-55000000	3	54000001	55000000		null					Not found	0	13.0	125.0	83.0
Chr3:55000001-56000000	3	55000001	56000000		null					Not found	0	77.0	66.0	138.0
Chr3:56000001-57000000	3	56000001	57000000		null					Not found	0	45.0	56.0	105.0
Chr3:57000001-58000000	3	57000001	58000000		null					Not found	0	38.0	113.0	189.0
Chr3:58000001-59000000	3	58000001	59000000		null					Not found	0	53.0	61.0	114.0
Chr3:59000001-60000000	3	59000001	60000000		null					Not found	0	79.0	109.0	71.0
Chr3:60000001-61000000	3	60000001	61000000		null					Not found	0	43.0	61.0	57.0
Chr3:61000001-62000000	3	61000001	62000000		null					Not found	0	74.0	70.0	110.0
Chr3:62000001-62628489	3	62000001	62628489		null					Not found	0	26.0	57.0	64.0
Chr4:1-1000000	4	1	1000000		null					Not found	0	104.0	116.0	156.0
Chr4:1000001-2000000	4	1000001	2000000		null					Not found	0	44.0	62.0	102.0
Chr4:2000001-3000000	4	2000001	3000000		null					Not found	0	58.0	85.0	106.0
Chr4:3000001-4000000	4	3000001	4000000		null					Not found	0	68.0	71.0	80.0
Chr4:4000001-5000000	4	4000001	5000000		null					Not found	0	68.0	82.0	117.0
Chr4:5000001-6000000	4	5000001	6000000		null					Not found	0	37.0	81.0	124.0
Chr4:6000001-7000000	4	6000001	7000000		null					Not found	0	64.0	82.0	102.0
Chr4:7000001-8000000	4	7000001	8000000		null					Not found	0	38.0	66.0	85.0
Chr4:8000001-9000000	4	8000001	9000000		null					Not found	0	57.0	80.0	112.0
Chr4:9000001-10000000	4	9000001	10000000		null					Not found	0	24.0	96.0	108.0
Chr4:10000001-11000000	4	10000001	11000000		null					Not found	0	34.0	92.0	67.0
Chr4:11000001-12000000	4	11000001	12000000		null					Not found	0	22.0	57.0	79.0
Chr4:12000001-13000000	4	12000001	13000000		null					Not found	0	42.0	49.0	70.0
Chr4:13000001-14000000	4	13000001	14000000		null					Not found	0	28.0	68.0	73.0
Chr4:14000001-15000000	4	14000001	15000000		null					Not found	0	34.0	77.0	67.0
Chr4:15000001-16000000	4	15000001	16000000		null					Not found	0	57.0	93.0	74.0
Chr4:16000001-17000000	4	16000001	17000000		null					Not found	0	49.0	46.0	58.0
Chr4:17000001-18000000	4	17000001	18000000		null					Not found	0	55.0	76.0	102.0
Chr4:18000001-19000000	4	18000001	19000000		null					Not found	0	40.0	96.0	71.0
Chr4:19000001-20000000	4	19000001	20000000		null					Not found	0	50.0	64.0	105.0
Chr4:20000001-21000000	4	20000001	21000000		null					Not found	0	27.0	35.0	78.0
Chr4:21000001-22000000	4	21000001	22000000		null					Not found	0	49.0	96.0	88.0
Chr4:22000001-23000000	4	22000001	23000000		null					Not found	0	13.0	53.0	59.0
Chr4:23000001-24000000	4	23000001	24000000		null					Not found	0	45.0	68.0	77.0
Chr4:24000001-25000000	4	24000001	25000000		null					Not found	0	34.0	47.0	73.0
Chr4:25000001-26000000	4	25000001	26000000		null					Not found	0	32.0	49.0	43.0
Chr4:26000001-27000000	4	26000001	27000000		null					Not found	0	82.0	95.0	229.0
Chr4:27000001-28000000	4	27000001	28000000		null					Not found	0	58.0	28.0	77.0
Chr4:28000001-29000000	4	28000001	29000000		null					Not found	0	88.0	83.0	121.0
Chr4:29000001-30000000	4	29000001	30000000		null					Not found	0	51.0	26.0	53.0
Chr4:30000001-31000000	4	30000001	31000000		null					Not found	0	13.0	45.0	69.0
Chr4:31000001-32000000	4	31000001	32000000		null					Not found	0	32.0	71.0	93.0
Chr4:32000001-33000000	4	32000001	33000000		null					Not found	0	47.0	51.0	83.0
Chr4:33000001-34000000	4	33000001	34000000		null					Not found	0	42.0	43.0	49.0
Chr4:34000001-35000000	4	34000001	35000000		null					Not found	0	24.0	43.0	30.0
Chr4:35000001-36000000	4	35000001	36000000		null					Not found	0	17.0	55.0	58.0
Chr4:36000001-37000000	4	36000001	37000000		null					Not found	0	43.0	45.0	37.0
Chr4:37000001-38000000	4	37000001	38000000		null					Not found	0	35.0	46.0	50.0
Chr4:38000001-39000000	4	38000001	39000000		null					Not found	0	28.0	46.0	80.0
Chr4:39000001-40000000	4	39000001	40000000		null					Not found	0	59.0	49.0	108.0
Chr4:40000001-41000000	4	40000001	41000000		null					Not found	0	6.0	16.0	55.0
Chr4:41000001-42000000	4	41000001	42000000		null					Not found	0	29.0	31.0	62.0
Chr4:42000001-43000000	4	42000001	43000000		null					Not found	0	24.0	32.0	59.0
Chr4:43000001-44000000	4	43000001	44000000		null					Not found	0	48.0	19.0	58.0
Chr4:44000001-45000000	4	44000001	45000000		null					Not found	0	62.0	79.0	103.0
Chr4:45000001-46000000	4	45000001	46000000		null					Not found	0	34.0	23.0	50.0
Chr4:46000001-47000000	4	46000001	47000000		null					Not found	0	8.0	16.0	29.0
Chr4:47000001-48000000	4	47000001	48000000		null					Not found	0	24.0	53.0	57.0
Chr4:48000001-49000000	4	48000001	49000000		null					Not found	0	11.0	29.0	40.0
Chr4:49000001-50000000	4	49000001	50000000		null					Not found	0	10.0	59.0	65.0
Chr4:50000001-51000000	4	50000001	51000000		null					Not found	0	19.0	27.0	56.0
Chr4:51000001-52000000	4	51000001	52000000		null					Not found	0	32.0	56.0	38.0
Chr4:52000001-53000000	4	52000001	53000000		null					Not found	0	26.0	51.0	74.0
Chr4:53000001-54000000	4	53000001	54000000		null					Not found	0	35.0	47.0	87.0
Chr4:54000001-55000000	4	54000001	55000000		null					Not found	0	51.0	53.0	51.0
Chr4:55000001-56000000	4	55000001	56000000		null					Not found	0	45.0	56.0	102.0
Chr4:56000001-57000000	4	56000001	57000000		null					Not found	0	8.0	41.0	52.0
Chr4:57000001-58000000	4	57000001	58000000		null					Not found	0	28.0	18.0	24.0
Chr4:58000001-59000000	4	58000001	59000000		null					Not found	0	53.0	15.0	76.0
Chr4:59000001-60000000	4	59000001	60000000		null					Not found	0	27.0	56.0	67.0
Chr4:60000001-61000000	4	60000001	61000000		null					Not found	0	4.0	14.0	21.0
Chr4:61000001-62000000	4	61000001	62000000		null					Not found	0	35.0	30.0	46.0
Chr4:62000001-63000000	4	62000001	63000000		null					Not found	0	15.0	35.0	34.0
Chr4:63000001-64000000	4	63000001	64000000		null					Not found	0	120.0	229.0	278.0
Chr4:64000001-65000000	4	64000001	65000000		null					Not found	0	31.0	33.0	80.0
Chr4:65000001-66000000	4	65000001	66000000		null					Not found	0	13.0	38.0	54.0
Chr4:66000001-67000000	4	66000001	67000000		null					Not found	0	6.0	22.0	17.0
Chr4:67000001-68000000	4	67000001	68000000		null					Not found	0	33.0	47.0	48.0
Chr4:68000001-69000000	4	68000001	69000000		null					Not found	0	55.0	49.0	40.0
Chr4:69000001-70000000	4	69000001	70000000		null					Not found	0	2.0	8.0	3.0
Chr4:70000001-71000000	4	70000001	71000000		null					Not found	0	55.0	17.0	98.0
Chr4:71000001-72000000	4	71000001	72000000		null					Not found	0	36.0	10.0	66.0
Chr4:72000001-73000000	4	72000001	73000000		null					Not found	0	93.0	76.0	90.0
Chr4:73000001-74000000	4	73000001	74000000		null					Not found	0	28.0	96.0	114.0
Chr4:74000001-75000000	4	74000001	75000000		null					Not found	0	31.0	98.0	96.0
Chr4:75000001-76000000	4	75000001	76000000		null					Not found	0	49.0	40.0	56.0
Chr4:76000001-77000000	4	76000001	77000000		null					Not found	0	39.0	111.0	130.0
Chr4:77000001-78000000	4	77000001	78000000		null					Not found	0	104.0	642.0	22240.0
Chr4:78000001-78093715	4	78000001	78093715		null					Not found	0	0.0	5.0	12.0
Chr5:1-1000000	5	1	1000000		null					Not found	0	63.0	74.0	128.0
Chr5:1000001-2000000	5	1000001	2000000		null					Not found	0	32.0	109.0	39.0
Chr5:2000001-3000000	5	2000001	3000000		null					Not found	0	60.0	108.0	129.0
Chr5:3000001-4000000	5	3000001	4000000		null					Not found	0	36.0	98.0	89.0
Chr5:4000001-5000000	5	4000001	5000000		null					Not found	0	45.0	74.0	85.0
Chr5:5000001-6000000	5	5000001	6000000		null					Not found	0	50.0	58.0	101.0
Chr5:6000001-7000000	5	6000001	7000000		null					Not found	0	30.0	66.0	102.0
Chr5:7000001-8000000	5	7000001	8000000		null					Not found	0	12.0	71.0	69.0
Chr5:8000001-9000000	5	8000001	9000000		null					Not found	0	16.0	56.0	63.0
Chr5:9000001-10000000	5	9000001	10000000		null					Not found	0	30.0	92.0	80.0
Chr5:10000001-11000000	5	10000001	11000000		null					Not found	0	48.0	81.0	110.0
Chr5:11000001-12000000	5	11000001	12000000		null					Not found	0	22.0	95.0	96.0
Chr5:12000001-13000000	5	12000001	13000000		null					Not found	0	26.0	47.0	81.0
Chr5:13000001-14000000	5	13000001	14000000		null					Not found	0	48.0	51.0	74.0
Chr5:14000001-15000000	5	14000001	15000000		null					Not found	0	60.0	50.0	131.0
Chr5:15000001-16000000	5	15000001	16000000		null					Not found	0	27.0	115.0	81.0
Chr5:16000001-17000000	5	16000001	17000000		null					Not found	0	37.0	38.0	80.0
Chr5:17000001-18000000	5	17000001	18000000		null					Not found	0	41.0	74.0	90.0
Chr5:18000001-19000000	5	18000001	19000000		null					Not found	0	13.0	47.0	71.0
Chr5:19000001-20000000	5	19000001	20000000		null					Not found	0	28.0	112.0	61.0
Chr5:20000001-21000000	5	20000001	21000000		null					Not found	0	22.0	42.0	51.0
Chr5:21000001-22000000	5	21000001	22000000		null					Not found	0	27.0	78.0	77.0
Chr5:22000001-23000000	5	22000001	23000000		null					Not found	0	61.0	149.0	109.0
Chr5:23000001-24000000	5	23000001	24000000		null					Not found	0	48.0	53.0	57.0
Chr5:24000001-25000000	5	24000001	25000000		null					Not found	0	76.0	72.0	106.0
Chr5:25000001-26000000	5	25000001	26000000		null					Not found	0	23.0	45.0	56.0
Chr5:26000001-27000000	5	26000001	27000000		null					Not found	0	30.0	56.0	66.0
Chr5:27000001-28000000	5	27000001	28000000		null					Not found	0	35.0	44.0	59.0
Chr5:28000001-29000000	5	28000001	29000000		null					Not found	0	37.0	60.0	56.0
Chr5:29000001-30000000	5	29000001	30000000		null					Not found	0	17.0	48.0	85.0
Chr5:30000001-31000000	5	30000001	31000000		null					Not found	0	36.0	48.0	86.0
Chr5:31000001-32000000	5	31000001	32000000		null					Not found	0	52.0	71.0	105.0
Chr5:32000001-33000000	5	32000001	33000000		null					Not found	0	61.0	65.0	106.0
Chr5:33000001-34000000	5	33000001	34000000		null					Not found	0	53.0	62.0	107.0
Chr5:34000001-35000000	5	34000001	35000000		null					Not found	0	30.0	73.0	92.0
Chr5:35000001-36000000	5	35000001	36000000		null					Not found	0	42.0	101.0	129.0
Chr5:36000001-37000000	5	36000001	37000000		null					Not found	0	42.0	97.0	106.0
Chr5:37000001-38000000	5	37000001	38000000		null					Not found	0	61.0	86.0	101.0
Chr5:38000001-39000000	5	38000001	39000000		null					Not found	0	27.0	46.0	67.0
Chr5:39000001-40000000	5	39000001	40000000		null					Not found	0	56.0	106.0	97.0
Chr5:40000001-41000000	5	40000001	41000000		null					Not found	0	33.0	59.0	63.0
Chr5:41000001-42000000	5	41000001	42000000		null					Not found	0	40.0	33.0	68.0
Chr5:42000001-43000000	5	42000001	43000000		null					Not found	0	55.0	37.0	81.0
Chr5:43000001-44000000	5	43000001	44000000		null					Not found	0	29.0	108.0	115.0
Chr5:44000001-45000000	5	44000001	45000000		null					Not found	0	19.0	48.0	71.0
Chr5:45000001-46000000	5	45000001	46000000		null					Not found	0	36.0	51.0	76.0
Chr5:46000001-47000000	5	46000001	47000000		null					Not found	0	41.0	30.0	106.0
Chr5:47000001-48000000	5	47000001	48000000		null					Not found	0	31.0	51.0	79.0
Chr5:48000001-49000000	5	48000001	49000000		null					Not found	0	31.0	46.0	82.0
Chr5:49000001-50000000	5	49000001	50000000		null					Not found	0	39.0	105.0	92.0
Chr5:50000001-51000000	5	50000001	51000000		null					Not found	0	28.0	57.0	76.0
Chr5:51000001-52000000	5	51000001	52000000		null					Not found	0	24.0	30.0	50.0
Chr5:52000001-53000000	5	52000001	53000000		null					Not found	0	22.0	48.0	50.0
Chr5:53000001-54000000	5	53000001	54000000		null					Not found	0	14.0	44.0	112.0
Chr5:54000001-55000000	5	54000001	55000000		null					Not found	0	52.0	44.0	58.0
Chr5:55000001-56000000	5	55000001	56000000		null					Not found	0	40.0	75.0	107.0
Chr5:56000001-57000000	5	56000001	57000000		null					Not found	0	28.0	45.0	85.0
Chr5:57000001-58000000	5	57000001	58000000		null					Not found	0	22.0	29.0	95.0
Chr5:58000001-59000000	5	58000001	59000000		null					Not found	0	43.0	38.0	106.0
Chr5:59000001-60000000	5	59000001	60000000		null					Not found	0	28.0	56.0	64.0
