Probe	Chromosome	Start	End	Probe Strand	No value	Feature	ID	Description	Feature Strand	Type	Feature Orientation	Distance	21d_egfp	25d_egfp	28d_egfp
Chr2:54000001-55000000	2	54000001	55000000		NaN	null					Not found	0	75.0	88.0	101.0
Chr2:55000001-56000000	2	55000001	56000000		NaN	null					Not found	0	33.0	96.0	96.0
Chr2:56000001-57000000	2	56000001	57000000		NaN	null					Not found	0	47.0	76.0	96.0
Chr2:57000001-58000000	2	57000001	58000000		NaN	null					Not found	0	49.0	48.0	126.0
Chr2:58000001-59000000	2	58000001	59000000		NaN	null					Not found	0	117.0	68.0	192.0
Chr2:59000001-59543403	2	59000001	59543403		NaN	null					Not found	0	9.0	40.0	23.0
Chr3:1-1000000	3	1	1000000		NaN	null					Not found	0	75.0	159.0	123.0
Chr3:1000001-2000000	3	1000001	2000000		NaN	null					Not found	0	13.0	95.0	117.0
Chr3:2000001-3000000	3	2000001	3000000		NaN	null					Not found	0	21.0	46.0	10.0
Chr3:3000001-4000000	3	3000001	4000000		NaN	null					Not found	0	21.0	62.0	72.0
Chr3:4000001-5000000	3	4000001	5000000		NaN	null					Not found	0	22.0	58.0	125.0
Chr3:5000001-6000000	3	5000001	6000000		NaN	null					Not found	0	59.0	30.0	93.0
Chr3:6000001-7000000	3	6000001	7000000		NaN	null					Not found	0	47.0	92.0	133.0
Chr3:7000001-8000000	3	7000001	8000000		NaN	null					Not found	0	66.0	102.0	164.0
Chr3:8000001-9000000	3	8000001	9000000		NaN	null					Not found	0	33.0	59.0	65.0
Chr3:9000001-10000000	3	9000001	10000000		NaN	null					Not found	0	26.0	27.0	84.0
Chr3:10000001-11000000	3	10000001	11000000		NaN	null					Not found	0	32.0	32.0	52.0
Chr3:11000001-12000000	3	11000001	12000000		NaN	null					Not found	0	30.0	54.0	56.0
Chr3:12000001-13000000	3	12000001	13000000		NaN	null					Not found	0	21.0	95.0	110.0
Chr3:13000001-14000000	3	13000001	14000000		NaN	null					Not found	0	37.0	55.0	84.0
Chr3:14000001-15000000	3	14000001	15000000		NaN	null					Not found	0	23.0	69.0	109.0
Chr3:15000001-16000000	3	15000001	16000000		NaN	null					Not found	0	54.0	86.0	95.0
Chr3:16000001-17000000	3	16000001	17000000		NaN	null					Not found	0	30.0	75.0	75.0
Chr3:17000001-18000000	3	17000001	18000000		NaN	null					Not found	0	59.0	109.0	88.0
Chr3:18000001-19000000	3	18000001	19000000		NaN	null					Not found	0	50.0	84.0	114.0
Chr3:19000001-20000000	3	19000001	20000000		NaN	null					Not found	0	47.0	39.0	57.0
Chr3:20000001-21000000	3	20000001	21000000		NaN	null					Not found	0	16.0	42.0	67.0
Chr3:21000001-22000000	3	21000001	22000000		NaN	null					Not found	0	27.0	60.0	59.0
Chr3:22000001-23000000	3	22000001	23000000		NaN	null					Not found	0	30.0	44.0	74.0
Chr3:23000001-24000000	3	23000001	24000000		NaN	null					Not found	0	62.0	86.0	68.0
Chr3:24000001-25000000	3	24000001	25000000		NaN	null					Not found	0	28.0	66.0	107.0
Chr3:25000001-26000000	3	25000001	26000000		NaN	null					Not found	0	35.0	35.0	162.0
Chr3:26000001-27000000	3	26000001	27000000		NaN	null					Not found	0	41.0	86.0	113.0
Chr3:27000001-28000000	3	27000001	28000000		NaN	null					Not found	0	14.0	59.0	74.0
Chr3:28000001-29000000	3	28000001	29000000		NaN	null					Not found	0	58.0	86.0	67.0
Chr3:29000001-30000000	3	29000001	30000000		NaN	null					Not found	0	27.0	71.0	102.0
Chr3:30000001-31000000	3	30000001	31000000		NaN	null					Not found	0	70.0	86.0	125.0
Chr3:31000001-32000000	3	31000001	32000000		NaN	null					Not found	0	62.0	52.0	102.0
Chr3:32000001-33000000	3	32000001	33000000		NaN	null					Not found	0	72.0	72.0	119.0
Chr3:33000001-34000000	3	33000001	34000000		NaN	null					Not found	0	44.0	33.0	65.0
Chr3:34000001-35000000	3	34000001	35000000		NaN	null					Not found	0	29.0	48.0	67.0
Chr3:35000001-36000000	3	35000001	36000000		NaN	null					Not found	0	58.0	68.0	70.0
Chr3:36000001-37000000	3	36000001	37000000		NaN	null					Not found	0	34.0	79.0	81.0
Chr3:37000001-38000000	3	37000001	38000000		NaN	null					Not found	0	52.0	54.0	101.0
Chr3:38000001-39000000	3	38000001	39000000		NaN	null					Not found	0	43.0	44.0	101.0
Chr3:39000001-40000000	3	39000001	40000000		NaN	null					Not found	0	53.0	74.0	111.0
Chr3:40000001-41000000	3	40000001	41000000		NaN	null					Not found	0	68.0	80.0	122.0
Chr3:41000001-42000000	3	41000001	42000000		NaN	null					Not found	0	23.0	68.0	100.0
Chr3:42000001-43000000	3	42000001	43000000		NaN	null					Not found	0	45.0	98.0	84.0
Chr3:43000001-44000000	3	43000001	44000000		NaN	null					Not found	0	58.0	135.0	151.0
Chr3:44000001-45000000	3	44000001	45000000		NaN	null					Not found	0	33.0	46.0	55.0
Chr3:45000001-46000000	3	45000001	46000000		NaN	null					Not found	0	19.0	58.0	89.0
Chr3:46000001-47000000	3	46000001	47000000		NaN	null					Not found	0	60.0	94.0	89.0
Chr3:47000001-48000000	3	47000001	48000000		NaN	null					Not found	0	56.0	156.0	88.0
Chr3:48000001-49000000	3	48000001	49000000		NaN	null					Not found	0	81.0	62.0	134.0
Chr3:49000001-50000000	3	49000001	50000000		NaN	null					Not found	0	53.0	116.0	187.0
Chr3:50000001-51000000	3	50000001	51000000		NaN	null					Not found	0	72.0	96.0	114.0
Chr3:51000001-52000000	3	51000001	52000000		NaN	null					Not found	0	78.0	83.0	63.0
Chr3:52000001-53000000	3	52000001	53000000		NaN	null					Not found	0	24.0	90.0	82.0
Chr3:53000001-54000000	3	53000001	54000000		NaN	null					Not found	0	26.0	77.0	69.0
Chr3:54000001-55000000	3	54000001	55000000		NaN	null					Not found	0	22.0	117.0	79.0
Chr3:55000001-56000000	3	55000001	56000000		NaN	null					Not found	0	65.0	69.0	145.0
Chr3:56000001-57000000	3	56000001	57000000		NaN	null					Not found	0	34.0	64.0	135.0
Chr3:57000001-58000000	3	57000001	58000000		NaN	null					Not found	0	34.0	110.0	173.0
Chr3:58000001-59000000	3	58000001	59000000		NaN	null					Not found	0	74.0	67.0	111.0
Chr3:59000001-60000000	3	59000001	60000000		NaN	null					Not found	0	54.0	107.0	69.0
Chr3:60000001-61000000	3	60000001	61000000		NaN	null					Not found	0	68.0	71.0	70.0
Chr3:61000001-62000000	3	61000001	62000000		NaN	null					Not found	0	44.0	85.0	124.0
Chr3:62000001-62385949	3	62000001	62385949		NaN	null					Not found	0	22.0	25.0	36.0
Chr4:1-1000000	4	1	1000000		NaN	null					Not found	0	104.0	113.0	165.0
Chr4:1000001-2000000	4	1000001	2000000		NaN	null					Not found	0	51.0	79.0	105.0
Chr4:2000001-3000000	4	2000001	3000000		NaN	null					Not found	0	63.0	79.0	101.0
Chr4:3000001-4000000	4	3000001	4000000		NaN	null					Not found	0	58.0	55.0	76.0
Chr4:4000001-5000000	4	4000001	5000000		NaN	null					Not found	0	68.0	82.0	117.0
Chr4:5000001-6000000	4	5000001	6000000		NaN	null					Not found	0	37.0	86.0	129.0
Chr4:6000001-7000000	4	6000001	7000000		NaN	null					Not found	0	64.0	77.0	97.0
Chr4:7000001-8000000	4	7000001	8000000		NaN	null					Not found	0	38.0	66.0	78.0
Chr4:8000001-9000000	4	8000001	9000000		NaN	null					Not found	0	56.0	86.0	110.0
Chr4:9000001-10000000	4	9000001	10000000		NaN	null					Not found	0	24.0	96.0	108.0
Chr4:10000001-11000000	4	10000001	11000000		NaN	null					Not found	0	39.0	95.0	67.0
Chr4:11000001-12000000	4	11000001	12000000		NaN	null					Not found	0	22.0	57.0	79.0
Chr4:12000001-13000000	4	12000001	13000000		NaN	null					Not found	0	42.0	49.0	70.0
Chr4:13000001-14000000	4	13000001	14000000		NaN	null					Not found	0	25.0	68.0	73.0
Chr4:14000001-15000000	4	14000001	15000000		NaN	null					Not found	0	34.0	77.0	67.0
Chr4:15000001-16000000	4	15000001	16000000		NaN	null					Not found	0	56.0	93.0	74.0
Chr4:16000001-17000000	4	16000001	17000000		NaN	null					Not found	0	49.0	43.0	58.0
Chr4:17000001-18000000	4	17000001	18000000		NaN	null					Not found	0	56.0	79.0	94.0
Chr4:18000001-19000000	4	18000001	19000000		NaN	null					Not found	0	37.0	96.0	78.0
Chr4:19000001-20000000	4	19000001	20000000		NaN	null					Not found	0	50.0	64.0	105.0
Chr4:20000001-21000000	4	20000001	21000000		NaN	null					Not found	0	12.0	34.0	45.0
Chr4:21000001-22000000	4	21000001	22000000		NaN	null					Not found	0	35.0	68.0	109.0
Chr4:22000001-23000000	4	22000001	23000000		NaN	null					Not found	0	45.0	84.0	61.0
Chr4:23000001-24000000	4	23000001	24000000		NaN	null					Not found	0	20.0	49.0	53.0
Chr4:24000001-25000000	4	24000001	25000000		NaN	null					Not found	0	38.0	64.0	107.0
Chr4:25000001-26000000	4	25000001	26000000		NaN	null					Not found	0	32.0	49.0	42.0
Chr4:26000001-27000000	4	26000001	27000000		NaN	null					Not found	0	82.0	89.0	230.0
Chr4:27000001-28000000	4	27000001	28000000		NaN	null					Not found	0	58.0	34.0	75.0
Chr4:28000001-29000000	4	28000001	29000000		NaN	null					Not found	0	87.0	81.0	116.0
Chr4:29000001-30000000	4	29000001	30000000		NaN	null					Not found	0	51.0	28.0	57.0
Chr4:30000001-31000000	4	30000001	31000000		NaN	null					Not found	0	13.0	45.0	69.0
Chr4:31000001-32000000	4	31000001	32000000		NaN	null					Not found	0	34.0	67.0	91.0
Chr4:32000001-33000000	4	32000001	33000000		NaN	null					Not found	0	49.0	49.0	84.0
Chr4:33000001-34000000	4	33000001	34000000		NaN	null					Not found	0	37.0	42.0	50.0
Chr4:34000001-35000000	4	34000001	35000000		NaN	null					Not found	0	24.0	56.0	32.0
Chr4:35000001-36000000	4	35000001	36000000		NaN	null					Not found	0	29.0	57.0	64.0
Chr4:36000001-37000000	4	36000001	37000000		NaN	null					Not found	0	29.0	88.0	42.0
Chr4:37000001-38000000	4	37000001	38000000		NaN	null					Not found	0	43.0	12.0	95.0
Chr4:38000001-39000000	4	38000001	39000000		NaN	null					Not found	0	58.0	73.0	78.0
Chr4:39000001-40000000	4	39000001	40000000		NaN	null					Not found	0	21.0	18.0	80.0
Chr4:40000001-41000000	4	40000001	41000000		NaN	null					Not found	0	8.0	27.0	67.0
Chr4:41000001-42000000	4	41000001	42000000		NaN	null					Not found	0	33.0	30.0	75.0
Chr4:42000001-43000000	4	42000001	43000000		NaN	null					Not found	0	52.0	49.0	55.0
Chr4:43000001-44000000	4	43000001	44000000		NaN	null					Not found	0	75.0	63.0	121.0
Chr4:44000001-45000000	4	44000001	45000000		NaN	null					Not found	0	43.0	43.0	70.0
Chr4:45000001-46000000	4	45000001	46000000		NaN	null					Not found	0	37.0	62.0	63.0
Chr4:46000001-47000000	4	46000001	47000000		NaN	null					Not found	0	19.0	34.0	50.0
Chr4:47000001-48000000	4	47000001	48000000		NaN	null					Not found	0	6.0	43.0	45.0
Chr4:48000001-49000000	4	48000001	49000000		NaN	null					Not found	0	21.0	37.0	77.0
Chr4:49000001-50000000	4	49000001	50000000		NaN	null					Not found	0	30.0	49.0	44.0
Chr4:50000001-51000000	4	50000001	51000000		NaN	null					Not found	0	30.0	57.0	74.0
Chr4:51000001-52000000	4	51000001	52000000		NaN	null					Not found	0	35.0	58.0	77.0
Chr4:52000001-53000000	4	52000001	53000000		NaN	null					Not found	0	49.0	43.0	65.0
Chr4:53000001-54000000	4	53000001	54000000		NaN	null					Not found	0	47.0	62.0	93.0
Chr4:54000001-55000000	4	54000001	55000000		NaN	null					Not found	0	8.0	44.0	57.0
Chr4:55000001-56000000	4	55000001	56000000		NaN	null					Not found	0	28.0	27.0	24.0
Chr4:56000001-57000000	4	56000001	57000000		NaN	null					Not found	0	57.0	17.0	76.0
Chr4:57000001-58000000	4	57000001	58000000		NaN	null					Not found	0	27.0	67.0	73.0
Chr4:58000001-59000000	4	58000001	59000000		NaN	null					Not found	0	0.0	19.0	21.0
Chr4:59000001-60000000	4	59000001	60000000		NaN	null					Not found	0	39.0	17.0	57.0
Chr4:60000001-61000000	4	60000001	61000000		NaN	null					Not found	0	5.0	21.0	20.0
Chr4:61000001-62000000	4	61000001	62000000		NaN	null					Not found	0	132.0	234.0	285.0
Chr4:62000001-63000000	4	62000001	63000000		NaN	null					Not found	0	17.0	46.0	55.0
Chr4:63000001-64000000	4	63000001	64000000		NaN	null					Not found	0	30.0	46.0	80.0
Chr4:64000001-65000000	4	64000001	65000000		NaN	null					Not found	0	24.0	39.0	47.0
Chr4:65000001-66000000	4	65000001	66000000		NaN	null					Not found	0	17.0	68.0	42.0
Chr4:66000001-67000000	4	66000001	67000000		NaN	null					Not found	0	47.0	28.0	43.0
Chr4:67000001-68000000	4	67000001	68000000		NaN	null					Not found	0	2.0	12.0	3.0
Chr4:68000001-69000000	4	68000001	69000000		NaN	null					Not found	0	73.0	17.0	103.0
Chr4:69000001-70000000	4	69000001	70000000		NaN	null					Not found	0	33.0	11.0	52.0
Chr4:70000001-71000000	4	70000001	71000000		NaN	null					Not found	0	49.0	21.0	62.0
Chr4:71000001-72000000	4	71000001	72000000		NaN	null					Not found	0	41.0	107.0	154.0
Chr4:72000001-73000000	4	72000001	73000000		NaN	null					Not found	0	59.0	105.0	40.0
Chr4:73000001-74000000	4	73000001	74000000		NaN	null					Not found	0	56.0	86.0	117.0
Chr4:74000001-75000000	4	74000001	75000000		NaN	null					Not found	0	31.0	64.0	82.0
Chr4:75000001-76000000	4	75000001	76000000		NaN	null					Not found	0	41.0	114.0	118.0
Chr4:76000001-76625712	4	76000001	76625712		NaN	null					Not found	0	115.0	762.0	25502.0
Chr5:1-1000000	5	1	1000000		NaN	null					Not found	0	89.0	115.0	158.0
Chr5:1000001-2000000	5	1000001	2000000		NaN	null					Not found	0	51.0	105.0	93.0
Chr5:2000001-3000000	5	2000001	3000000		NaN	null					Not found	0	53.0	111.0	110.0
Chr5:3000001-4000000	5	3000001	4000000		NaN	null					Not found	0	35.0	71.0	94.0
Chr5:4000001-5000000	5	4000001	5000000		NaN	null					Not found	0	25.0	65.0	91.0
Chr5:5000001-6000000	5	5000001	6000000		NaN	null					Not found	0	37.0	58.0	81.0
Chr5:6000001-7000000	5	6000001	7000000		NaN	null					Not found	0	19.0	80.0	127.0
Chr5:7000001-8000000	5	7000001	8000000		NaN	null					Not found	0	16.0	73.0	58.0
Chr5:8000001-9000000	5	8000001	9000000		NaN	null					Not found	0	30.0	60.0	54.0
Chr5:9000001-10000000	5	9000001	10000000		NaN	null					Not found	0	49.0	105.0	114.0
Chr5:10000001-11000000	5	10000001	11000000		NaN	null					Not found	0	18.0	75.0	86.0
Chr5:11000001-12000000	5	11000001	12000000		NaN	null					Not found	0	17.0	60.0	110.0
Chr5:12000001-13000000	5	12000001	13000000		NaN	null					Not found	0	39.0	54.0	85.0
Chr5:13000001-14000000	5	13000001	14000000		NaN	null					Not found	0	47.0	41.0	103.0
Chr5:14000001-15000000	5	14000001	15000000		NaN	null					Not found	0	59.0	76.0	103.0
Chr5:15000001-16000000	5	15000001	16000000		NaN	null					Not found	0	28.0	95.0	78.0
Chr5:16000001-17000000	5	16000001	17000000		NaN	null					Not found	0	25.0	51.0	73.0
Chr5:17000001-18000000	5	17000001	18000000		NaN	null					Not found	0	42.0	60.0	93.0
Chr5:18000001-19000000	5	18000001	19000000		NaN	null					Not found	0	18.0	54.0	77.0
Chr5:19000001-20000000	5	19000001	20000000		NaN	null					Not found	0	26.0	100.0	50.0
Chr5:20000001-21000000	5	20000001	21000000		NaN	null					Not found	0	24.0	61.0	75.0
Chr5:21000001-22000000	5	21000001	22000000		NaN	null					Not found	0	52.0	75.0	75.0
Chr5:22000001-23000000	5	22000001	23000000		NaN	null					Not found	0	54.0	144.0	96.0
Chr5:23000001-24000000	5	23000001	24000000		NaN	null					Not found	0	54.0	49.0	97.0
Chr5:24000001-25000000	5	24000001	25000000		NaN	null					Not found	0	51.0	59.0	65.0
Chr5:25000001-26000000	5	25000001	26000000		NaN	null					Not found	0	32.0	49.0	63.0
Chr5:26000001-27000000	5	26000001	27000000		NaN	null					Not found	0	30.0	37.0	80.0
Chr5:27000001-28000000	5	27000001	28000000		NaN	null					Not found	0	34.0	41.0	35.0
Chr5:28000001-29000000	5	28000001	29000000		NaN	null					Not found	0	23.0	74.0	82.0
Chr5:29000001-30000000	5	29000001	30000000		NaN	null					Not found	0	26.0	45.0	72.0
Chr5:30000001-31000000	5	30000001	31000000		NaN	null					Not found	0	35.0	66.0	112.0
Chr5:31000001-32000000	5	31000001	32000000		NaN	null					Not found	0	72.0	72.0	123.0
Chr5:32000001-33000000	5	32000001	33000000		NaN	null					Not found	0	69.0	69.0	92.0
Chr5:33000001-34000000	5	33000001	34000000		NaN	null					Not found	0	29.0	47.0	89.0
Chr5:34000001-35000000	5	34000001	35000000		NaN	null					Not found	0	36.0	90.0	105.0
